CYC00001-PR1014IAM00001,CYC00001-PR1014IAM00002,CYC00001-PR1014IAM00003,CYC00001-PR1014IAM00004,CYC00001-PR1014IAM00006,CYC00001-PR1014IAM00007,CYC00001-PR1014IAM00008,CYC00001-PR1014IAM00009,CYC00001-PR1014IAM00010,CYC00001-PR1014IAM00011,
CYC00001-PR1034IAM00001,CYC00001-PR1034IAM00002,CYC00001-PR1034IAM00003,CYC00001-PR1034IAM00004,CYC00001-PR1034IAM00006,CYC00001-PR1034IAM00007,CYC00001-PR1034IAM00008,CYC00001-PR1034IAM00009,CYC00001-PR1034IAM00010,CYC00001-PR1034IAM00011,
CYC00001-PR1035IAM00001,CYC00001-PR1035IAM00002,CYC00001-PR1035IAM00003,CYC00001-PR1035IAM00004,CYC00001-PR1035IAM00006,CYC00001-PR1035IAM00007,CYC00001-PR1035IAM00008,CYC00001-PR1035IAM00009,CYC00001-PR1035IAM00010,CYC00001-PR1035IAM00011,
CYC00001-PR1036IAM00001,CYC00001-PR1036IAM00002,CYC00001-PR1036IAM00003,CYC00001-PR1036IAM00004,CYC00001-PR1036IAM00006,CYC00001-PR1036IAM00007,CYC00001-PR1036IAM00008,CYC00001-PR1036IAM00009,CYC00001-PR1036IAM00010,CYC00001-PR1036IAM00011,
CYC00001-PR1037IAM00001,CYC00001-PR1037IAM00002,CYC00001-PR1037IAM00003,CYC00001-PR1037IAM00004,CYC00001-PR1037IAM00006,CYC00001-PR1037IAM00007,CYC00001-PR1037IAM00008,CYC00001-PR1037IAM00009,CYC00001-PR1037IAM00010,CYC00001-PR1037IAM00011,
CYC00001-PR1039IAM00001,CYC00001-PR1039IAM00002,CYC00001-PR1039IAM00003,CYC00001-PR1039IAM00004,CYC00001-PR1039IAM00006,CYC00001-PR1039IAM00007,CYC00001-PR1039IAM00008,CYC00001-PR1039IAM00009,CYC00001-PR1039IAM00010,CYC00001-PR1039IAM00011,
CYC00001-PR1040IAM00001,CYC00001-PR1040IAM00002,CYC00001-PR1040IAM00003,CYC00001-PR1040IAM00004,CYC00001-PR1040IAM00006,CYC00001-PR1040IAM00007,CYC00001-PR1040IAM00008,CYC00001-PR1040IAM00009,CYC00001-PR1040IAM00010,CYC00001-PR1040IAM00011,
CYC00001-PR1041IAM00001,CYC00001-PR1041IAM00002,CYC00001-PR1041IAM00003,CYC00001-PR1041IAM00004,CYC00001-PR1041IAM00006,CYC00001-PR1041IAM00007,CYC00001-PR1041IAM00008,CYC00001-PR1041IAM00009,CYC00001-PR1041IAM00010,CYC00001-PR1041IAM00011,
CYC00001-PR1042IAM00001,CYC00001-PR1042IAM00002,CYC00001-PR1042IAM00003,CYC00001-PR1042IAM00004,CYC00001-PR1042IAM00006,CYC00001-PR1042IAM00007,CYC00001-PR1042IAM00008,CYC00001-PR1042IAM00009,CYC00001-PR1042IAM00010,CYC00001-PR1042IAM00011,
CYC00001-PR1043IAM00001,CYC00001-PR1043IAM00002,CYC00001-PR1043IAM00003,CYC00001-PR1043IAM00004,CYC00001-PR1043IAM00006,CYC00001-PR1043IAM00007,CYC00001-PR1043IAM00008,CYC00001-PR1043IAM00009,CYC00001-PR1043IAM00010,CYC00001-PR1043IAM00011,
CYC00001-PR1044IAM00001,CYC00001-PR1044IAM00002,CYC00001-PR1044IAM00003,CYC00001-PR1044IAM00004,CYC00001-PR1044IAM00006,CYC00001-PR1044IAM00007,CYC00001-PR1044IAM00008,CYC00001-PR1044IAM00009,CYC00001-PR1044IAM00010,CYC00001-PR1044IAM00011,
CYC00001-PR1045IAM00001,CYC00001-PR1045IAM00002,CYC00001-PR1045IAM00003,CYC00001-PR1045IAM00004,CYC00001-PR1045IAM00006,CYC00001-PR1045IAM00007,CYC00001-PR1045IAM00008,CYC00001-PR1045IAM00009,CYC00001-PR1045IAM00010,CYC00001-PR1045IAM00011,
CYC00001-PR1046IAM00001,CYC00001-PR1046IAM00002,CYC00001-PR1046IAM00003,CYC00001-PR1046IAM00004,CYC00001-PR1046IAM00006,CYC00001-PR1046IAM00007,CYC00001-PR1046IAM00008,CYC00001-PR1046IAM00009,CYC00001-PR1046IAM00010,CYC00001-PR1046IAM00011,
CYC00001-PR1047IAM00001,CYC00001-PR1047IAM00002,CYC00001-PR1047IAM00003,CYC00001-PR1047IAM00004,CYC00001-PR1047IAM00006,CYC00001-PR1047IAM00007,CYC00001-PR1047IAM00008,CYC00001-PR1047IAM00009,CYC00001-PR1047IAM00010,CYC00001-PR1047IAM00011,
CYC00001-PRS1010IAM00001,CYC00001-PRS1010IAM00002,CYC00001-PRS1010IAM00003,CYC00001-PRS1010IAM00004,CYC00001-PRS1010IAM00006,CYC00001-PRS1010IAM00007,CYC00001-PRS1010IAM00008,CYC00001-PRS1010IAM00009,CYC00001-PRS1010IAM00010,CYC00001-PRS1010IAM00011,
CYC00001-PRS1012IAM00001,CYC00001-PRS1012IAM00002,CYC00001-PRS1012IAM00003,CYC00001-PRS1012IAM00004,CYC00001-PRS1012IAM00006,CYC00001-PRS1012IAM00007,CYC00001-PRS1012IAM00008,CYC00001-PRS1012IAM00009,CYC00001-PRS1012IAM00010,CYC00001-PRS1012IAM00011,
CYC00001-PRS1013IAM00001,CYC00001-PRS1013IAM00002,CYC00001-PRS1013IAM00003,CYC00001-PRS1013IAM00004,CYC00001-PRS1013IAM00006,CYC00001-PRS1013IAM00007,CYC00001-PRS1013IAM00008,CYC00001-PRS1013IAM00009,CYC00001-PRS1013IAM00010,CYC00001-PRS1013IAM00011,
CYC00001-PRS1014IAM00001,CYC00001-PRS1014IAM00002,CYC00001-PRS1014IAM00003,CYC00001-PRS1014IAM00004,CYC00001-PRS1014IAM00006,CYC00001-PRS1014IAM00007,CYC00001-PRS1014IAM00008,CYC00001-PRS1014IAM00009,CYC00001-PRS1014IAM00010,CYC00001-PRS1014IAM00011,

CYC00002-PR1001IAM00007,CYC00002-PR1001IAM00008,CYC00002-PR1001IAM00009,CYC00002-PR1001IAM00016,CYC00002-PR1001IAM00017,CYC00002-PR1001IAM00020,CYC00002-PR1002IAM00007,CYC00002-PR1002IAM00008,CYC00002-PR1002IAM00009,CYC00002-PR1002IAM00016,
CYC00002-PR1002IAM00017,CYC00002-PR1002IAM00020,CYC00002-PR1003IAM00007,CYC00002-PR1003IAM00008,CYC00002-PR1003IAM00009,CYC00002-PR1003IAM00016,CYC00002-PR1003IAM00017,CYC00002-PR1003IAM00020,CYC00002-PR1004IAM00007,CYC00002-PR1004IAM00008,
CYC00002-PR1004IAM00009,CYC00002-PR1004IAM00016,CYC00002-PR1004IAM00017,CYC00002-PR1004IAM00020,CYC00002-PR1005IAM00007,CYC00002-PR1005IAM00008,CYC00002-PR1005IAM00009,CYC00002-PR1005IAM00016,CYC00002-PR1005IAM00017,CYC00002-PR1005IAM00020,
CYC00002-PR1006IAM00007,CYC00002-PR1006IAM00008,CYC00002-PR1006IAM00009,CYC00002-PR1006IAM00016,CYC00002-PR1006IAM00017,CYC00002-PR1006IAM00020,CYC00002-PR1007IAM00007,CYC00002-PR1007IAM00008,CYC00002-PR1007IAM00009,CYC00002-PR1007IAM00016,
CYC00002-PR1007IAM00017,CYC00002-PR1007IAM00020,CYC00002-PR1008IAM00007,CYC00002-PR1008IAM00008,CYC00002-PR1008IAM00009,CYC00002-PR1008IAM00016,CYC00002-PR1008IAM00017,CYC00002-PR1008IAM00020,CYC00002-PR1009IAM00007,CYC00002-PR1009IAM00008,
CYC00002-PR1009IAM00009,CYC00002-PR1009IAM00016,CYC00002-PR1009IAM00017,CYC00002-PR1009IAM00020,CYC00002-PR1010IAM00007,CYC00002-PR1010IAM00008,CYC00002-PR1010IAM00009,CYC00002-PR1010IAM00016,CYC00002-PR1010IAM00017,CYC00002-PR1010IAM00020,
CYC00002-PR1011IAM00007,CYC00002-PR1011IAM00008,CYC00002-PR1011IAM00009,CYC00002-PR1011IAM00016,CYC00002-PR1011IAM00017,CYC00002-PR1011IAM00020,CYC00002-PR1012IAM00007,CYC00002-PR1012IAM00008,CYC00002-PR1012IAM00009,CYC00002-PR1012IAM00016,
CYC00002-PR1012IAM00017,CYC00002-PR1012IAM00020,CYC00002-PR1013IAM00007,CYC00002-PR1013IAM00008,CYC00002-PR1013IAM00009,CYC00002-PR1013IAM00016,CYC00002-PR1013IAM00017,CYC00002-PR1013IAM00020,CYC00002-PR1014IAM00007,CYC00002-PR1014IAM00008,
CYC00002-PR1014IAM00009,CYC00002-PR1014IAM00016,CYC00002-PR1014IAM00017,CYC00002-PR1014IAM00020,CYC00002-PR1015IAM00007,CYC00002-PR1015IAM00008,CYC00002-PR1015IAM00009,CYC00002-PR1015IAM00016,CYC00002-PR1015IAM00017,CYC00002-PR1015IAM00020,
CYC00002-PR1016IAM00007,CYC00002-PR1016IAM00008,CYC00002-PR1016IAM00009,CYC00002-PR1016IAM00016,CYC00002-PR1016IAM00017,CYC00002-PR1016IAM00020,CYC00002-PR1017IAM00007,CYC00002-PR1017IAM00008,CYC00002-PR1017IAM00009,CYC00002-PR1017IAM00016,
CYC00002-PR1017IAM00017,CYC00002-PR1017IAM00020,CYC00002-PR1018IAM00007,CYC00002-PR1018IAM00008,CYC00002-PR1018IAM00009,CYC00002-PR1018IAM00016,CYC00002-PR1018IAM00017,CYC00002-PR1018IAM00020,CYC00002-PR1019IAM00007,CYC00002-PR1019IAM00008,
CYC00002-PR1019IAM00009,CYC00002-PR1019IAM00016,CYC00002-PR1019IAM00017,CYC00002-PR1019IAM00020,CYC00002-PR1020IAM00007,CYC00002-PR1020IAM00008,CYC00002-PR1020IAM00009,CYC00002-PR1020IAM00016,CYC00002-PR1020IAM00017,CYC00002-PR1020IAM00020,
CYC00002-PR1021IAM00007,CYC00002-PR1021IAM00008,CYC00002-PR1021IAM00009,CYC00002-PR1021IAM00016,CYC00002-PR1021IAM00017,CYC00002-PR1021IAM00020,CYC00002-PR1022IAM00007,CYC00002-PR1022IAM00008,CYC00002-PR1022IAM00009,CYC00002-PR1022IAM00016,
CYC00002-PR1022IAM00017,CYC00002-PR1022IAM00020,CYC00002-PR1023IAM00007,CYC00002-PR1023IAM00008,CYC00002-PR1023IAM00009,CYC00002-PR1023IAM00016,CYC00002-PR1023IAM00017,CYC00002-PR1023IAM00020,CYC00002-PR1025IAM00007,CYC00002-PR1025IAM00008,
CYC00002-PR1025IAM00009,CYC00002-PR1025IAM00016,CYC00002-PR1025IAM00017,CYC00002-PR1025IAM00020,CYC00002-PR1027IAM00007,CYC00002-PR1027IAM00008,CYC00002-PR1027IAM00009,CYC00002-PR1027IAM00016,CYC00002-PR1027IAM00017,CYC00002-PR1027IAM00020,
CYC00002-PR1028IAM00007,CYC00002-PR1028IAM00008,CYC00002-PR1028IAM00009,CYC00002-PR1028IAM00016,CYC00002-PR1028IAM00017,CYC00002-PR1028IAM00020,CYC00002-PR1029IAM00007,CYC00002-PR1029IAM00008,CYC00002-PR1029IAM00009,CYC00002-PR1029IAM00016,
CYC00002-PR1029IAM00017,CYC00002-PR1029IAM00020,CYC00002-PR1030IAM00007,CYC00002-PR1030IAM00008,CYC00002-PR1030IAM00009,CYC00002-PR1030IAM00016,CYC00002-PR1030IAM00017,CYC00002-PR1030IAM00020,CYC00002-PR1031IAM00007,CYC00002-PR1031IAM00008,
CYC00002-PR1031IAM00009,CYC00002-PR1031IAM00016,CYC00002-PR1031IAM00017,CYC00002-PR1031IAM00020,CYC00002-PR1032IAM00007,CYC00002-PR1032IAM00008,CYC00002-PR1032IAM00009,CYC00002-PR1032IAM00016,CYC00002-PR1032IAM00017,CYC00002-PR1032IAM00020,
CYC00002-PR1033IAM00007,CYC00002-PR1033IAM00008,CYC00002-PR1033IAM00009,CYC00002-PR1033IAM00016,CYC00002-PR1033IAM00017,CYC00002-PR1033IAM00020,CYC00002-PR1034IAM00007,CYC00002-PR1034IAM00008,CYC00002-PR1034IAM00009,CYC00002-PR1034IAM00016,
CYC00002-PR1034IAM00017,CYC00002-PR1034IAM00020,CYC00002-PR1035IAM00007,CYC00002-PR1035IAM00008,CYC00002-PR1035IAM00009,CYC00002-PR1035IAM00016,CYC00002-PR1035IAM00017,CYC00002-PR1035IAM00020,CYC00002-PR1036IAM00007,CYC00002-PR1036IAM00008,
CYC00002-PR1036IAM00009,CYC00002-PR1036IAM00016,CYC00002-PR1036IAM00017,CYC00002-PR1036IAM00020,CYC00002-PR1037IAM00007,CYC00002-PR1037IAM00008,CYC00002-PR1037IAM00009,CYC00002-PR1037IAM00016,CYC00002-PR1037IAM00017,CYC00002-PR1037IAM00020,
CYC00002-PR1039IAM00007,CYC00002-PR1039IAM00008,CYC00002-PR1039IAM00009,CYC00002-PR1039IAM00016,CYC00002-PR1039IAM00017,CYC00002-PR1039IAM00020,CYC00002-PR1040IAM00007,CYC00002-PR1040IAM00008,CYC00002-PR1040IAM00009,CYC00002-PR1040IAM00016,
CYC00002-PR1040IAM00017,CYC00002-PR1040IAM00020,CYC00002-PR1041IAM00007,CYC00002-PR1041IAM00008,CYC00002-PR1041IAM00009,CYC00002-PR1041IAM00016,CYC00002-PR1041IAM00017,CYC00002-PR1041IAM00020,CYC00002-PR1042IAM00007,CYC00002-PR1042IAM00008,
CYC00002-PR1042IAM00009,CYC00002-PR1042IAM00016,CYC00002-PR1042IAM00017,CYC00002-PR1042IAM00020,CYC00002-PR1043IAM00007,CYC00002-PR1043IAM00008,CYC00002-PR1043IAM00009,CYC00002-PR1043IAM00016,CYC00002-PR1043IAM00017,CYC00002-PR1043IAM00020,
CYC00002-PR1044IAM00007,CYC00002-PR1044IAM00008,CYC00002-PR1044IAM00009,CYC00002-PR1044IAM00016,CYC00002-PR1044IAM00017,CYC00002-PR1044IAM00020,CYC00002-PR1045IAM00007,CYC00002-PR1045IAM00008,CYC00002-PR1045IAM00009,CYC00002-PR1045IAM00016,
CYC00002-PR1045IAM00017,CYC00002-PR1045IAM00020,CYC00002-PR1046IAM00007,CYC00002-PR1046IAM00008,CYC00002-PR1046IAM00009,CYC00002-PR1046IAM00016,CYC00002-PR1046IAM00017,CYC00002-PR1046IAM00020,CYC00002-PR1047IAM00007,CYC00002-PR1047IAM00008,
CYC00002-PR1047IAM00009,CYC00002-PR1047IAM00016,CYC00002-PR1047IAM00017,CYC00002-PR1047IAM00020,CYC00002-PRS1010IAM00007,CYC00002-PRS1010IAM00008,CYC00002-PRS1010IAM00009,CYC00002-PRS1010IAM00016,CYC00002-PRS1010IAM00017,CYC00002-PRS1010IAM00020,
CYC00002-PRS1012IAM00007,CYC00002-PRS1012IAM00008,CYC00002-PRS1012IAM00009,CYC00002-PRS1012IAM00016,CYC00002-PRS1012IAM00017,CYC00002-PRS1012IAM00020,CYC00002-PRS1013IAM00007,CYC00002-PRS1013IAM00008,CYC00002-PRS1013IAM00009,CYC00002-PRS1013IAM00016,
CYC00002-PRS1013IAM00017,CYC00002-PRS1013IAM00020,CYC00002-PRS1014IAM00007,CYC00002-PRS1014IAM00008,CYC00002-PRS1014IAM00009,CYC00002-PRS1014IAM00016,CYC00002-PRS1014IAM00017,CYC00002-PRS1014IAM00020,

CYC00003-PR1001IAM00002,CYC00003-PR1001IAM00003,CYC00003-PR1001IAM00006,CYC00003-PR1001IAM00013,CYC00003-PR1001IAM00014,CYC00003-PR1001IAM00015,CYC00003-PR1002IAM00002,CYC00003-PR1002IAM00003,CYC00003-PR1002IAM00006,CYC00003-PR1002IAM00013,
CYC00003-PR1002IAM00014,CYC00003-PR1002IAM00015,CYC00003-PR1003IAM00002,CYC00003-PR1003IAM00003,CYC00003-PR1003IAM00006,CYC00003-PR1003IAM00013,CYC00003-PR1003IAM00014,CYC00003-PR1003IAM00015,CYC00003-PR1004IAM00002,CYC00003-PR1004IAM00003,
CYC00003-PR1004IAM00006,CYC00003-PR1004IAM00013,CYC00003-PR1004IAM00014,CYC00003-PR1004IAM00015,CYC00003-PR1005IAM00002,CYC00003-PR1005IAM00003,CYC00003-PR1005IAM00006,CYC00003-PR1005IAM00013,CYC00003-PR1005IAM00014,CYC00003-PR1005IAM00015,
CYC00003-PR1006IAM00002,CYC00003-PR1006IAM00003,CYC00003-PR1006IAM00006,CYC00003-PR1006IAM00013,CYC00003-PR1006IAM00014,CYC00003-PR1006IAM00015,CYC00003-PR1007IAM00002,CYC00003-PR1007IAM00003,CYC00003-PR1007IAM00006,CYC00003-PR1007IAM00013,
CYC00003-PR1007IAM00014,CYC00003-PR1007IAM00015,CYC00003-PR1008IAM00002,CYC00003-PR1008IAM00003,CYC00003-PR1008IAM00006,CYC00003-PR1008IAM00013,CYC00003-PR1008IAM00014,CYC00003-PR1008IAM00015,CYC00003-PR1009IAM00002,CYC00003-PR1009IAM00003,
CYC00003-PR1009IAM00006,CYC00003-PR1009IAM00013,CYC00003-PR1009IAM00014,CYC00003-PR1009IAM00015,CYC00003-PR1010IAM00002,CYC00003-PR1010IAM00003,CYC00003-PR1010IAM00006,CYC00003-PR1010IAM00013,CYC00003-PR1010IAM00014,CYC00003-PR1010IAM00015,
CYC00003-PR1011IAM00002,CYC00003-PR1011IAM00003,CYC00003-PR1011IAM00006,CYC00003-PR1011IAM00013,CYC00003-PR1011IAM00014,CYC00003-PR1011IAM00015,CYC00003-PR1012IAM00002,CYC00003-PR1012IAM00003,CYC00003-PR1012IAM00006,CYC00003-PR1012IAM00013,
CYC00003-PR1012IAM00014,CYC00003-PR1012IAM00015,CYC00003-PR1013IAM00002,CYC00003-PR1013IAM00003,CYC00003-PR1013IAM00006,CYC00003-PR1013IAM00013,CYC00003-PR1013IAM00014,CYC00003-PR1013IAM00015,CYC00003-PR1014IAM00002,CYC00003-PR1014IAM00003,
CYC00003-PR1014IAM00006,CYC00003-PR1014IAM00013,CYC00003-PR1014IAM00014,CYC00003-PR1014IAM00015,CYC00003-PR1015IAM00002,CYC00003-PR1015IAM00003,CYC00003-PR1015IAM00006,CYC00003-PR1015IAM00013,CYC00003-PR1015IAM00014,CYC00003-PR1015IAM00015,
CYC00003-PR1016IAM00002,CYC00003-PR1016IAM00003,CYC00003-PR1016IAM00006,CYC00003-PR1016IAM00013,CYC00003-PR1016IAM00014,CYC00003-PR1016IAM00015,CYC00003-PR1017IAM00002,CYC00003-PR1017IAM00003,CYC00003-PR1017IAM00006,CYC00003-PR1017IAM00013,
CYC00003-PR1017IAM00014,CYC00003-PR1017IAM00015,CYC00003-PR1018IAM00002,CYC00003-PR1018IAM00003,CYC00003-PR1018IAM00006,CYC00003-PR1018IAM00013,CYC00003-PR1018IAM00014,CYC00003-PR1018IAM00015,CYC00003-PR1019IAM00002,CYC00003-PR1019IAM00003,
CYC00003-PR1019IAM00006,CYC00003-PR1019IAM00013,CYC00003-PR1019IAM00014,CYC00003-PR1019IAM00015,CYC00003-PR1020IAM00002,CYC00003-PR1020IAM00003,CYC00003-PR1020IAM00006,CYC00003-PR1020IAM00013,CYC00003-PR1020IAM00014,CYC00003-PR1020IAM00015,
CYC00003-PR1021IAM00002,CYC00003-PR1021IAM00003,CYC00003-PR1021IAM00006,CYC00003-PR1021IAM00013,CYC00003-PR1021IAM00014,CYC00003-PR1021IAM00015,CYC00003-PR1022IAM00002,CYC00003-PR1022IAM00003,CYC00003-PR1022IAM00006,CYC00003-PR1022IAM00013,
CYC00003-PR1022IAM00014,CYC00003-PR1022IAM00015,CYC00003-PR1023IAM00002,CYC00003-PR1023IAM00003,CYC00003-PR1023IAM00006,CYC00003-PR1023IAM00013,CYC00003-PR1023IAM00014,CYC00003-PR1023IAM00015,CYC00003-PR1025IAM00002,CYC00003-PR1025IAM00003,
CYC00003-PR1025IAM00006,CYC00003-PR1025IAM00013,CYC00003-PR1025IAM00014,CYC00003-PR1025IAM00015,CYC00003-PR1027IAM00002,CYC00003-PR1027IAM00003,CYC00003-PR1027IAM00006,CYC00003-PR1027IAM00013,CYC00003-PR1027IAM00014,CYC00003-PR1027IAM00015,
CYC00003-PR1028IAM00002,CYC00003-PR1028IAM00003,CYC00003-PR1028IAM00006,CYC00003-PR1028IAM00013,CYC00003-PR1028IAM00014,CYC00003-PR1028IAM00015,CYC00003-PR1029IAM00002,CYC00003-PR1029IAM00003,CYC00003-PR1029IAM00006,CYC00003-PR1029IAM00013,
CYC00003-PR1029IAM00014,CYC00003-PR1029IAM00015,CYC00003-PR1030IAM00002,CYC00003-PR1030IAM00003,CYC00003-PR1030IAM00006,CYC00003-PR1030IAM00013,CYC00003-PR1030IAM00014,CYC00003-PR1030IAM00015,CYC00003-PR1031IAM00002,CYC00003-PR1031IAM00003,
CYC00003-PR1031IAM00006,CYC00003-PR1031IAM00013,CYC00003-PR1031IAM00014,CYC00003-PR1031IAM00015,CYC00003-PR1032IAM00002,CYC00003-PR1032IAM00003,CYC00003-PR1032IAM00006,CYC00003-PR1032IAM00013,CYC00003-PR1032IAM00014,CYC00003-PR1032IAM00015,
CYC00003-PR1033IAM00002,CYC00003-PR1033IAM00003,CYC00003-PR1033IAM00006,CYC00003-PR1033IAM00013,CYC00003-PR1033IAM00014,CYC00003-PR1033IAM00015,CYC00003-PR1034IAM00002,CYC00003-PR1034IAM00003,CYC00003-PR1034IAM00006,CYC00003-PR1034IAM00013,
CYC00003-PR1034IAM00014,CYC00003-PR1034IAM00015,CYC00003-PR1035IAM00002,CYC00003-PR1035IAM00003,CYC00003-PR1035IAM00006,CYC00003-PR1035IAM00013,CYC00003-PR1035IAM00014,CYC00003-PR1035IAM00015,CYC00003-PR1036IAM00002,CYC00003-PR1036IAM00003,
CYC00003-PR1036IAM00006,CYC00003-PR1036IAM00013,CYC00003-PR1036IAM00014,CYC00003-PR1036IAM00015,CYC00003-PR1037IAM00002,CYC00003-PR1037IAM00003,CYC00003-PR1037IAM00006,CYC00003-PR1037IAM00013,CYC00003-PR1037IAM00014,CYC00003-PR1037IAM00015,
