InternalID,ElementType,ElementID,ElementName,Language,CaptionType,Caption(Name),Caption(Desc)
5000701,Portlet,strat_item_hierarchy_projects,Strategic Item Hierarchy with Projects,Spanish,Portlet Grid Columns,Alineación a los Negócios,
5000941,MasterObject,strat_bsc_persp,BSC Perspective,Portuguese,Object View Attributes,Ativa,
5000942,MasterObject,strat_bsc_persp,BSC Perspective,Portuguese,Object View Attributes,Ativa,
5001259,MasterObject,strat_align_metric,Investment Alignment Metric,Portuguese,Object View Attributes,Ativa,
5001266,MasterObject,strat_align_metric,Investment Alignment Metric,Portuguese,Object View Attributes,Ativa,
5000724,Portlet,strat_persp_projects,Perspective Hierarchy with Projects,Spanish,Portlet Grid Columns,Alineación a los Negócios,
5000642,Portlet,strat_hierarchy_with_projects,Strategic Hierarchy with Projects,Spanish,Portlet Grid Columns,Alineación Corporativa,
5000700,Portlet,strat_item_hierarchy_projects,Strategic Item Hierarchy with Projects,Spanish,Portlet Grid Columns,Alineación Corporativa,
5001320,MasterObject,strat_dim,Strategic Dimension,Portuguese,Object View Attributes,Ativa,
5001323,MasterObject,strat_dim,Strategic Dimension,Portuguese,Object View Attributes,Ativa,
5000940,MasterObject,strat_bsc_persp,BSC Perspective,Portuguese,Object Attributes,Ativo,
5000723,Portlet,strat_persp_projects,Perspective Hierarchy with Projects,Spanish,Portlet Grid Columns,Alineación Corporativa,
5001248,MasterObject,strat_align_metric,Investment Alignment Metric,Portuguese,Object Attributes,Ativo,
5000033,StaticLookup,STRAT_METRIC_VALUE,Strategic Metric Value,Spanish,Lookup Values,Alto,
5000676,Portlet,strat_eval_cycle_results,Evaluation Cycle Results,Spanish,Portlet Grid Columns,Atributo de Alineación,
5000150,MasterObject,strat_eval_cycle,Evaluation Cycle,Spanish,Object View Sections,Auditoria,
5000500,MasterObject,strat_align_metric,Investment Alignment Metric,Spanish,Object View Sections,Auditoria,
5000561,MasterObject,strat_dim,Strategic Dimension,Spanish,Object View Sections,Auditoria,
5000304,MasterObject,strategic_item,Strategic Item,Spanish,Object View Sections,Auditoria,
5000366,MasterObject,strat_kpi,Strategic KPI,Spanish,Object View Sections,Auditoria,
5000426,MasterObject,strat_kpi,Strategic KPI,Spanish,Object View Sections,Auditoria,
5000430,MasterObject,strat_kpi,Strategic KPI,Spanish,Object View Sections,Auditoria,
5000460,MasterObject,strat_scope,Strategic Scope,Spanish,Object View Sections,Auditoria,
5000042,StaticLookup,STRAT_ROLLUP_METHOD,Rollup Method,Spanish,Lookup Values,Promedio,
5000029,StaticLookup,STRAT_METRIC_VALUE,Strategic Metric Value,Spanish,Lookup Values,Bajo,
5000030,StaticLookup,STRAT_METRIC_VALUE,Strategic Metric Value,Spanish,Lookup Values,Bajo el Promedio,
5000043,StaticLookup,STRAT_ROLLUP_METHOD,Rollup Method,Spanish,Lookup Values,Mejor Caso,
5000168,MasterObject,strat_bsc_persp,BSC Perspective,Spanish,Object View Sections,Perspectiva del BSC,
5000169,MasterObject,strat_bsc_persp,BSC Perspective,Spanish,Object View Sections,Perspectiva del BSC,
5000174,MasterObject,strat_bsc_persp,BSC Perspective,Spanish,Object View Sections,Perspectiva del BSC,
5000244,MasterObject,strategic_item,Strategic Item,Spanish,Object Attributes,Perspectiva del BSC,
5000245,MasterObject,strategic_item,Strategic Item,Spanish,Object View Attributes,Perspectiva del BSC,
5000246,MasterObject,strategic_item,Strategic Item,Spanish,Object View Attributes,Perspectiva del BSC,
5000291,MasterObject,strategic_item,Strategic Item,Spanish,Object View Attributes,Perspectiva del BSC,
5000175,MasterObject,strat_bsc_persp,BSC Perspective,Spanish,List Views,Perspectivas del BSC,
5000183,Menu,odf.strat_bsc_perspList,Strategic Perspectives,Spanish,Menu Items,Perspectivas del BSC,Perspectivas del BSC
5000182,Page,odf.strat_bsc_perspFrame,BSC Perspective Default Layout,Spanish,Pages,BSC Perspective Vista predeterminada,BSC Perspective Vista predeterminada
5000784,StockObjectCustAttr,strat_bu_alignment,inv.Strategic Alignment -Element-00392,Spanish,Object Attributes,Alineación de la Unidad de Negocios,
5000778,Group,strat_bu_planner,Business Unit Strategy Planner,Spanish,Groups,Planificador de la Estratégia de la Unidad de Negocios,
5000059,DynamicLookup,STRAT_ACTIVE_INVESTMENTS,Browse Active Investments,Spanish,Lookup Types,Búsqueda de Inversiones Activas,
5000585,Process,strat_Control,Strategy Control,Spanish,Process Actions,Calcula Peso Jerarquia,
5000582,Process,strat_Control,Strategy Control,Spanish,Process Actions,Calcula Alineación de Inversiones,
5000649,Portlet,strat_hierarchy_with_projects,Strategic Hierarchy with Projects,Spanish,Portlet Grid Columns,Cambios,
5000707,Portlet,strat_item_hierarchy_projects,Strategic Item Hierarchy with Projects,Spanish,Portlet Grid Columns,Cambios,
5000713,Portlet,strat_persp_projects,Perspective Hierarchy with Projects,Spanish,Portlet Grid Columns,Cambios,
5000201,MasterObject,strat_tree_flat,Strategic Tree Flat,Spanish,Object Attributes,Item Hijo,
5000202,MasterObject,strat_tree_flat,Strategic Tree Flat,Spanish,Object View Attributes,Item Hijo,
5000213,MasterObject,strat_tree_flat,Strategic Tree Flat,Spanish,Object View Attributes,Item Hijo,
5000220,MasterObject,strat_tree_flat,Strategic Tree Flat,Spanish,Object View Attributes,Item Hijo,
5000203,MasterObject,strat_tree_flat,Strategic Tree Flat,Spanish,Object Attributes,Nivel Hijo,
5000204,MasterObject,strat_tree_flat,Strategic Tree Flat,Spanish,Object View Attributes,Nivel Hijo,
5000215,MasterObject,strat_tree_flat,Strategic Tree Flat,Spanish,Object View Attributes,Nivel Hijo,
5001249,MasterObject,strat_align_metric,Investment Alignment Metric,Portuguese,Object View Attributes,Ativo,
5001319,MasterObject,strat_dim,Strategic Dimension,Portuguese,Object Attributes,Ativo,
5001006,MasterObject,strategic_item,Strategic Item,Portuguese,Object Attributes,Ativo,
5001007,MasterObject,strategic_item,Strategic Item,Portuguese,Object View Attributes,Ativo,
5001053,MasterObject,strategic_item,Strategic Item,Portuguese,Object View Attributes,Ativo,
5001094,MasterObject,strat_kpi,Strategic KPI,Portuguese,Object Attributes,Ativo,
5001095,MasterObject,strat_kpi,Strategic KPI,Portuguese,Object View Attributes,Ativo,
5001121,MasterObject,strat_kpi,Strategic KPI,Portuguese,Object View Attributes,Ativo,
5001132,MasterObject,strat_kpi,Strategic KPI,Portuguese,Object View Attributes,Ativo,
5001218,MasterObject,strat_scope,Strategic Scope,Portuguese,Object Attributes,Ativo,
5001219,MasterObject,strat_scope,Strategic Scope,Portuguese,Object View Attributes,Ativo,
5001222,MasterObject,strat_scope,Strategic Scope,Portuguese,Object View Attributes,Ativo,
5000217,MasterObject,strat_tree_flat,Strategic Tree Flat,Spanish,Object View Attributes,Nivel Hijo,
5000822,DynamicLookup,STRAT_ALIGNMENT_ATTR,Strategic Alignment Attribute,Portuguese,Lookup Types,Atributos de Alinhamento Estratégico,
5001334,Process,strat_item_top_level,Strategic Item - Build Tree Flat,Portuguese,Process Step,Atualizar Nível Superior,
5000914,MasterObject,strat_eval_cycle,Evaluation Cycle,Portuguese,Object View Sections,Auditoria,
5001264,MasterObject,strat_align_metric,Investment Alignment Metric,Portuguese,Object View Sections,Auditoria,
5001325,MasterObject,strat_dim,Strategic Dimension,Portuguese,Object View Sections,Auditoria,
5001068,MasterObject,strategic_item,Strategic Item,Portuguese,Object View Sections,Auditoria,
5001130,MasterObject,strat_kpi,Strategic KPI,Portuguese,Object View Sections,Auditoria,
5001190,MasterObject,strat_kpi,Strategic KPI,Portuguese,Object View Sections,Auditoria,
5001194,MasterObject,strat_kpi,Strategic KPI,Portuguese,Object View Sections,Auditoria,
5001224,MasterObject,strat_scope,Strategic Scope,Portuguese,Object View Sections,Auditoria,
5000116,MasterObject,strat_eval_cycle,Evaluation Cycle,Spanish,Objects,Ciclo de Evaluación,Ciclo de Evaluación Estratégica para Seleccionar Inversiones
5000853,MasterObject,strat_evaluation,Strategic Evaluation,Portuguese,Object Attributes,Avaliação do Investimento,
5000854,MasterObject,strat_evaluation,Strategic Evaluation,Portuguese,Object View Attributes,Avaliação do Investimento,
5000855,MasterObject,strat_evaluation,Strategic Evaluation,Portuguese,Object View Attributes,Avaliação do Investimento,
5000869,MasterObject,strat_evaluation,Strategic Evaluation,Portuguese,Object View Attributes,Avaliação do Investimento,
5000827,MasterObject,strat_evaluation,Strategic Evaluation,Portuguese,Objects,Avaliação Estratégica,
5000835,MasterObject,strat_evaluation,Strategic Evaluation,Portuguese,Object View Sections,Avaliação Estratégica,
5000836,MasterObject,strat_evaluation,Strategic Evaluation,Portuguese,Object View Sections,Avaliação Estratégica,
5000841,MasterObject,strat_evaluation,Strategic Evaluation,Portuguese,Object View Sections,Avaliação Estratégica,
5000863,MasterObject,strat_evaluation,Strategic Evaluation,Portuguese,Object Attributes,Avaliação Ponderada,
5000864,MasterObject,strat_evaluation,Strategic Evaluation,Portuguese,Object View Attributes,Avaliação Ponderada,
5000865,MasterObject,strat_evaluation,Strategic Evaluation,Portuguese,Object View Attributes,Avaliação Ponderada,
5000870,MasterObject,strat_evaluation,Strategic Evaluation,Portuguese,Object View Attributes,Avaliação Ponderada,
5000879,Menu,odf.strat_evaluationList,Strategic Evaluations,Portuguese,Menu Actions,Avaliações Estratégicas,Avaliações Estratégicas
5000861,MasterObject,strat_evaluation,Strategic Evaluation,Portuguese,Object Attributes,Avaliador do Investimento,
5000862,MasterObject,strat_evaluation,Strategic Evaluation,Portuguese,Object View Attributes,Avaliador do Investimento,
5000159,Menu,odf.strat_eval_cycleList,Evaluation Cycles,Spanish,Menu Actions,Ciclos de Evaluación,Evaluation Cycle Lista
5000873,MasterObject,strat_evaluation,Strategic Evaluation,Portuguese,Object View Attributes,Avaliador do Investimento,
5000650,Portlet,strat_hierarchy_with_projects,Strategic Hierarchy with Projects,Spanish,Portlet Grid Columns,Clave de Dimensión,
5000787,StaticLookup,STRAT_CYCLE_METHOD,Cycle Method,Portuguese,Lookup Values,Avaliar contra todas as métricas e atualizar adequadamente os Objetivos Suportados,
5000675,Portlet,strat_eval_cycle_results,Evaluation Cycle Results,Spanish,Portlet Grid Columns,Clave de Dimensión,
5000788,StaticLookup,STRAT_CYCLE_METHOD,Cycle Method,Portuguese,Lookup Values,Avaliar somente contra as métricas relacionadas aos Objetivos Suportados,
5000690,Portlet,strat_item_hierarchy_kpis,Strategic Item Hierarchy with KPIs,Spanish,Portlet Grid Columns,Clave de Dimensión,
5000708,Portlet,strat_item_hierarchy_projects,Strategic Item Hierarchy with Projects,Spanish,Portlet Grid Columns,Clave de Dimensión,
5000715,Portlet,strat_persp_projects,Perspective Hierarchy with Projects,Spanish,Portlet Grid Columns,Clave de Dimensión,
5000738,Portlet,strat_persp_kpis,Perspective Hierarchy with KPIs,Spanish,Portlet Grid Columns,Clave de Dimensión,
5000053,StaticLookup,STRAT_CYCLE_ACTION,Cycle Action,Spanish,Lookup Values,Cerrar,
5000588,Process,strat_Control,Strategy Control,Spanish,Process Step,Cerrar Evaluación,
5000782,StockObjectCustAttr,strat_corp_alignment,inv.Strategic Alignment -Element-00388,Spanish,Object Attributes,Alineación Corporativa,
5000779,Group,strat_corp_planner,Corporate Strategic Planner,Spanish,Groups,Planificador de la Estratégia Corporativa,
5000332,MasterObject,strat_kpi,Strategic KPI,Spanish,Object Attributes,Medición Corriente,
5000333,MasterObject,strat_kpi,Strategic KPI,Spanish,Object View Attributes,Medición Corriente,
5000793,StaticLookup,STRAT_METRIC_VALUE,Strategic Metric Value,Portuguese,Lookup Values,Baixo,
5000932,MasterObject,strat_bsc_persp,BSC Perspective,Portuguese,Object View Sections,Perspectiva do BSC,
5000933,MasterObject,strat_bsc_persp,BSC Perspective,Portuguese,Object View Sections,Perspectiva do BSC,
5000938,MasterObject,strat_bsc_persp,BSC Perspective,Portuguese,Object View Sections,Perspectiva do BSC,
5000947,Menu,odf.strat_bsc_perspList,Strategic Perspectives,Portuguese,Menu Items,Perspectivas do BSC,Perspectivas do BSC
5000823,DynamicLookup,STRAT_ACTIVE_INVESTMENTS,Browse Active Investments,Portuguese,Lookup Types,Busca de Investimentos Ativos,
5001345,Process,strat_Control,Strategy Control,Portuguese,Process Actions,Calcula Peso da Hierarquia,
5001347,Process,strat_Control,Strategy Control,Portuguese,Process Actions,Calcula Alinhamento dos Investimentos,
5001339,Process,strat_kpi_calculation,Strategic KPI  Calculation,Portuguese,Process,Cálculo dos KPIs Estratégicos,
5000334,MasterObject,strat_kpi,Strategic KPI,Spanish,Object View Attributes,Medición Corriente,
5000361,MasterObject,strat_kpi,Strategic KPI,Spanish,Object View Attributes,Medición Corriente,
5000335,MasterObject,strat_kpi,Strategic KPI,Spanish,Object Attributes,Meta Corriente,
5000336,MasterObject,strat_kpi,Strategic KPI,Spanish,Object View Attributes,Meta Corriente,
5000337,MasterObject,strat_kpi,Strategic KPI,Spanish,Object View Attributes,Meta Corriente,
5000360,MasterObject,strat_kpi,Strategic KPI,Spanish,Object View Attributes,Meta Corriente,
5000050,StaticLookup,STRAT_CYCLE_ACTION,Cycle Action,Spanish,Lookup Types,Acción del Ciclo,
5000153,MasterObject,strat_eval_cycle,Evaluation Cycle,Spanish,Object View Attributes,Acción del Ciclo,
5000022,StaticLookup,STRAT_CYCLE_METHOD,Cycle Method,Spanish,Lookup Types,Método del Ciclo,
5000136,MasterObject,strat_eval_cycle,Evaluation Cycle,Spanish,Object Attributes,Método del Ciclo,
5000137,MasterObject,strat_eval_cycle,Evaluation Cycle,Spanish,Object View Attributes,Método del Ciclo,
5000138,MasterObject,strat_eval_cycle,Evaluation Cycle,Spanish,Object View Attributes,Método del Ciclo,
5000880,MasterObject,strat_eval_cycle,Evaluation Cycle,Portuguese,Objects,Ciclo de Avaliação,Ciclo de Avaliação Estratégica para Selecionar Investimentos
5000145,MasterObject,strat_eval_cycle,Evaluation Cycle,Spanish,Object View Attributes,Método del Ciclo,
5000888,MasterObject,strat_eval_cycle,Evaluation Cycle,Portuguese,Object View Sections,Ciclo de Avaliação,
5000757,Portlet,strat_kpi_measurements,Strategic KPI Measurements,Spanish,Portlet Graph Axes,Fecha,
5000752,Portlet,strat_kpi_followup,Strategic KPI Target follow up,Spanish,Portlet Graph Axes,Fecha,
5000783,StockObjectCustAttr,strat_dept_alignment,inv.Strategic Alignment -Element-00390,Spanish,Object Attributes,Alineación del Departamento,
5000637,Portlet,strat_hierarchy_with_projects,Strategic Hierarchy with Projects,Spanish,Portlet Grid Columns,Descripción,
5000247,MasterObject,strategic_item,Strategic Item,Spanish,Object Attributes,Descripción,
5000249,MasterObject,strategic_item,Strategic Item,Spanish,Object View Attributes,Descripción,
5000612,Portlet,strat_hierarchy_kpis,Strategic Hierarchy with KPIs,Spanish,Portlet Grid Columns,Descripción del Item,
5000744,Portlet,strat_items_related_kpi,Strategic Items related to KPI,Spanish,Portlet Grid Columns,Descripción del Item Estratégico,
5000248,MasterObject,strategic_item,Strategic Item,Spanish,Object View Attributes,Descripción,
5000288,MasterObject,strategic_item,Strategic Item,Spanish,Object View Attributes,Descripción,
5000148,MasterObject,strat_eval_cycle,Evaluation Cycle,Spanish,Object View Sections,Detalles,
5000362,MasterObject,strat_kpi,Strategic KPI,Spanish,Object View Sections,Detalles,
5000620,Portlet,strat_hierarchy_kpis,Strategic Hierarchy with KPIs,Spanish,Portlet Grid Columns,Dim,
5000674,Portlet,strat_eval_cycle_results,Evaluation Cycle Results,Spanish,Portlet Grid Columns,Dimensión Estratégica,
5000568,Menu,odf.strat_dimList,Strategic Dimensions,Spanish,Menu Actions,Dimensiones Estratégicas,Dimensiones Estratégicas
5000157,Page,odf.strat_eval_cycleFrame,Evaluation Cycle Default Layout,Spanish,Pages,Diseño predeterminado de Evaluation Cycle,Diseño predeterminado de Evaluation Cycle
5000536,Page,odf.strat_align_metricFrame,Investment Alignment Metric Default Layout,Spanish,Pages,Diseño predeterminado de Investment Alignment Metric,Diseño predeterminado de Investment Alignment Metric
5000566,Page,odf.strat_dimFrame,Strategic Dimension Default Layout,Spanish,Pages,Diseño predeterminado de Strategic Dimension,Diseño predeterminado de Strategic Dimension
5000311,Page,odf.strategic_itemFrame,Strategic Item Default Layout,Spanish,Pages,Diseño predeterminado de Strategic Item,Diseño predeterminado de Strategic Item
5000435,Page,odf.strat_kpiFrame,Strategic KPI Default Layout,Spanish,Pages,Diseño predeterminado de Strategic KPI,Diseño predeterminado de Strategic KPI
5000465,Page,odf.strat_scopeFrame,Strategic Scope Default Layout,Spanish,Pages,Diseño predeterminado de Strategic Scope,Diseño predeterminado de Strategic Scope
5000223,Page,odf.strat_tree_flatFrame,Strategic Tree Flat Default Layout,Spanish,Pages,Diseño predeterminado de Strategic Tree Flat,Diseño predeterminado de Strategic Tree Flat
5000181,DynamicLookup,ODF_CST_STRAT_BSC_PERSP_PAGE_LAYOUT,BSC Perspective Page Layouts,Spanish,Lookup Types,Diseños de página de BSC Perspective,Lista de diseños de página para el objeto BSC Perspective
5000156,DynamicLookup,ODF_CST_STRAT_EVAL_CYCLE_PAGE_LAYOUT,Evaluation Cycle Page Layouts,Spanish,Lookup Types,Diseños de página de Evaluation Cycle,Lista de diseños de página para el objeto Evaluation Cycle
5000535,DynamicLookup,ODF_CST_STRAT_ALIGN_METRIC_PAGE_LAYOUT,Investment Alignment Metric Page Layouts,Spanish,Lookup Types,Diseños de página de Investment Alignment Metric,Lista de diseños de página para el objeto Investment Alignment Metric
5000565,DynamicLookup,ODF_CST_STRAT_DIM_PAGE_LAYOUT,Strategic Dimension Page Layouts,Spanish,Lookup Types,Diseños de página de Strategic Dimension,Lista de diseños de página para el objeto Strategic Dimension
5000112,DynamicLookup,ODF_CST_STRAT_EVALUATION_PAGE_LAYOUT,Strategic Evaluation Page Layouts,Spanish,Lookup Types,Diseños de página de Strategic Evaluation,Lista de diseños de página para el objeto Strategic Evaluation
5000310,DynamicLookup,ODF_CST_STRATEGIC_ITEM_PAGE_LAYOUT,Strategic Item Page Layouts,Spanish,Lookup Types,Diseños de página de Strategic Item,Lista de diseños de página para el objeto Strategic Item
5000434,DynamicLookup,ODF_CST_STRAT_KPI_PAGE_LAYOUT,Strategic KPI Page Layouts,Spanish,Lookup Types,Diseños de página de Strategic KPI,Lista de diseños de página para el objeto Strategic KPI
5000464,DynamicLookup,ODF_CST_STRAT_SCOPE_PAGE_LAYOUT,Strategic Scope Page Layouts,Spanish,Lookup Types,Diseños de página de Strategic Scope,Lista de diseños de página para el objeto Strategic Scope
5000222,DynamicLookup,ODF_CST_STRAT_TREE_FLAT_PAGE_LAYOUT,Strategic Tree Flat Page Layouts,Spanish,Lookup Types,Diseños de página de Strategic Tree Flat,Lista de diseños de página para el objeto Strategic Tree Flat
5000583,Process,strat_Control,Strategy Control,Spanish,Process Actions,Enviar Evaluaciones,
5000589,Process,strat_Control,Strategy Control,Spanish,Process Step,Enviar Evaluaciones,
5000161,MasterObject,strat_bsc_persp,BSC Perspective,Spanish,Object Attributes,Entidad financiera,Entidad financiera para asistencia de TSV fiscal
5000171,MasterObject,strat_bsc_persp,BSC Perspective,Spanish,Object View Attributes,Entidad financiera,
5000117,MasterObject,strat_eval_cycle,Evaluation Cycle,Spanish,Object Attributes,Entidad financiera,Entidad financiera para asistencia de TSV fiscal
5000127,MasterObject,strat_eval_cycle,Evaluation Cycle,Spanish,Object View Attributes,Entidad financiera,
5000469,MasterObject,strat_align_metric,Investment Alignment Metric,Spanish,Object Attributes,Entidad financiera,Entidad financiera para asistencia de TSV fiscal
5000479,MasterObject,strat_align_metric,Investment Alignment Metric,Spanish,Object View Attributes,Entidad financiera,
5000506,MasterObject,strat_align_metric,Investment Alignment Metric,Spanish,Object Attributes,Entidad financiera,Entidad financiera para asistencia de TSV fiscal
5000516,MasterObject,strat_align_metric,Investment Alignment Metric,Spanish,Object View Attributes,Entidad financiera,
5000540,MasterObject,strat_dim,Strategic Dimension,Spanish,Object Attributes,Entidad financiera,Entidad financiera para asistencia de TSV fiscal
5000550,MasterObject,strat_dim,Strategic Dimension,Spanish,Object View Attributes,Entidad financiera,
5000064,MasterObject,strat_evaluation,Strategic Evaluation,Spanish,Object Attributes,Entidad financiera,Entidad financiera para asistencia de TSV fiscal
5000074,MasterObject,strat_evaluation,Strategic Evaluation,Spanish,Object View Attributes,Entidad financiera,
5000227,MasterObject,strategic_item,Strategic Item,Spanish,Object Attributes,Entidad financiera,Entidad financiera para asistencia de TSV fiscal
5000237,MasterObject,strategic_item,Strategic Item,Spanish,Object View Attributes,Entidad financiera,
5000315,MasterObject,strat_kpi,Strategic KPI,Spanish,Object Attributes,Entidad financiera,Entidad financiera para asistencia de TSV fiscal
